dataset,corpus,query_id,split,query_type,difficulty,method,baseline_rank,rank,rank_delta_baseline_minus_method,change,hit_at_5,query,relevant_document_ids,top5_document_ids
english,english_152,emanual_577,test,english,emanual,tfidf,1,1,0,unchanged,True,What are the steps to reset network?,doc_25dffc7c886f9021,doc_25dffc7c886f9021|doc_39d0ee956dd210f7|doc_c62d865190756e69|doc_c76d00f88bf6de78|doc_e46962318e2553d7
english,english_152,emanual_39,validation,english,emanual,tfidf,2,2,0,unchanged,True,Please provide some instructions on how to schedule program and also can you please explain how to schedule recording??,doc_0957beae540a0ea4|doc_ef91d3ce054acb3a,doc_5d7d7b3b2abc89df|doc_0957beae540a0ea4|doc_60dafa15fdeb038e|doc_da1300ebb4dd314e|doc_ef91d3ce054acb3a
english,english_152,emanual_548,test,english,emanual,tfidf,1,1,0,unchanged,True,Can I scan TV for malicious code ?,doc_04059663c2063c35|doc_89daeaea4bb0cb13,doc_04059663c2063c35|doc_89daeaea4bb0cb13|doc_34c598c35f3e6406|doc_6d5820ee6e37bce8|doc_e8f06baf2e266ead
english,english_152,emanual_568,test,english,emanual,tfidf,1,1,0,unchanged,True,How do I turn on or off Remote Management?,doc_c987f7c29cc250f8|doc_f2b33f1597080e73,doc_c987f7c29cc250f8|doc_f2b33f1597080e73|doc_8a7e529a6a2552da|doc_c054145800fbf428|doc_f0e90fb8f636298c
english,english_152,emanual_114,test,english,emanual,tfidf,1,1,0,unchanged,True,Why my TV is making a popping noise?,doc_615a7c3ab71fc9f0,doc_615a7c3ab71fc9f0|doc_3deec08e7a494c6d|doc_cef1248669442981|doc_755e377f476da28d|doc_c0f02da9d00f95d9
english,english_152,emanual_32,test,english,emanual,tfidf,2,2,0,unchanged,True,How can I view the channels that are serached by auto program function and How can I view first five favorite channel?,doc_3af6b352347331b3|doc_4ae5dbe8a44556a1|doc_5727e1afc29df334,doc_c246ec277efd47fe|doc_4ae5dbe8a44556a1|doc_5727e1afc29df334|doc_95fa017d8afc2bc7|doc_af3de84130096de7
english,english_152,emanual_97,test,english,emanual,tfidf,4,4,0,unchanged,True,What are the uses of buttons in the e-manual?,doc_1725377e288e3615,doc_4fa7990263faeb2a|doc_83dbad72020c426c|doc_2caad8a88899272a|doc_1725377e288e3615|doc_0012580590c4c18b
english,english_152,emanual_92,test,english,emanual,tfidf,1,1,0,unchanged,True,How to create new account in SmartThings ?,doc_88924c0794a9c8d4|doc_a99a8099396779cd,doc_a99a8099396779cd|doc_88924c0794a9c8d4|doc_fe8b5be25413f30d|doc_fbd8475fad369e41|doc_75b8a9fd66adafa1
english,english_152,emanual_3,validation,english,emanual,tfidf,1,1,0,unchanged,True,Why my screen getting darker and also sometimes in state of black screen?,doc_1ccf529a297411ff|doc_559038e0a46f70dd,doc_559038e0a46f70dd|doc_1ccf529a297411ff|doc_0f4a2c01c63c7750|doc_af2ec7a96f792725|doc_3deec08e7a494c6d
english,english_152,emanual_300,test,english,emanual,tfidf,1,1,0,unchanged,True,How do I set scheduled viewing time?,doc_021c12c35b16c64e|doc_a516564b3a344f30|doc_f2a6f947643fc60e,doc_f2a6f947643fc60e|doc_0312927d1c998db2|doc_021c12c35b16c64e|doc_a41de15e5b29bc4a|doc_a516564b3a344f30
english,english_152,emanual_75,validation,english,emanual,tfidf,1,1,0,unchanged,True,How to sign out of Samsung account?,doc_5c5589c27cc2fd98,doc_5c5589c27cc2fd98|doc_fbd8475fad369e41|doc_75b8a9fd66adafa1|doc_88924c0794a9c8d4|doc_fe8b5be25413f30d
english,english_152,emanual_458,validation,english,emanual,tfidf,2,2,0,unchanged,True,How do I reset sound settings?,doc_c62d865190756e69,doc_5f9d9d64cde629ee|doc_c62d865190756e69|doc_dc30edcb02d26e16|doc_d0c4a5adf3ffc776|doc_d4d50252bc60bc84
english,english_152,emanual_347,test,english,emanual,tfidf,1,1,0,unchanged,True,How to update TV's software through USB device?,doc_e66d2e96bcd55a11,doc_e66d2e96bcd55a11|doc_755e377f476da28d|doc_c0f02da9d00f95d9|doc_3f10c228d9ebd41b|doc_60dafa15fdeb038e
english,english_152,emanual_82,test,english,emanual,tfidf,1,1,0,unchanged,True,I need to lock app. How to do this?,doc_9bcc997d8d11776c,doc_9bcc997d8d11776c|doc_db1a96f5b1f00b6e|doc_60dafa15fdeb038e|doc_e55ae96035dd76d6|doc_da1300ebb4dd314e
english,english_152,emanual_437,validation,english,emanual,tfidf,13,13,0,unchanged,False,What can I do if I am getting distorted picture on TV?,doc_bb306395cc6d4f76,doc_202f58843ae10ffc|doc_e0c8d52bda0ed65c|doc_e12736352b7e2a01|doc_d5537ad686b27380|doc_d4d50252bc60bc84
english,english_152,emanual_50,validation,english,emanual,tfidf,2,2,0,unchanged,True,What is picture mode?,doc_af9e1db1daf8b03b,doc_e12736352b7e2a01|doc_af9e1db1daf8b03b|doc_83dbad72020c426c|doc_706dedfd66e0c194|doc_c76d00f88bf6de78
english,english_152,emanual_211,validation,english,emanual,tfidf,3,3,0,unchanged,True,How do I configure Sharpness?,doc_353741387bfd6387,doc_5f9d9d64cde629ee|doc_60dafa15fdeb038e|doc_353741387bfd6387|doc_da1300ebb4dd314e|doc_d3ccc0799b2a15fd
english,english_152,emanual_558,test,english,emanual,tfidf,1,1,0,unchanged,True,Can I turn TV in Ambient Mode?,doc_559038e0a46f70dd|doc_fd9f5beff7a82de8,doc_fd9f5beff7a82de8|doc_af2ec7a96f792725|doc_559038e0a46f70dd|doc_1ccf529a297411ff|doc_da1300ebb4dd314e
english,english_152,emanual_289,test,english,emanual,tfidf,1,1,0,unchanged,True,Explain the steps how to do Schedule Recording while watching a program?,doc_0957beae540a0ea4,doc_0957beae540a0ea4|doc_5d7d7b3b2abc89df|doc_a41de15e5b29bc4a|doc_a516564b3a344f30|doc_ef91d3ce054acb3a
english,english_152,emanual_125,validation,english,emanual,tfidf,1,1,0,unchanged,True,How do I open the accessibility Shortcuts menu?,doc_c054145800fbf428|doc_f0e90fb8f636298c,doc_c054145800fbf428|doc_f0e90fb8f636298c|doc_0e27df103bf080bd|doc_0012580590c4c18b|doc_c4a1cafcf274cbae
english,english_152,emanual_489,validation,english,emanual,tfidf,6,6,0,unchanged,False,Can I configure Color?,doc_353741387bfd6387,doc_1eb01c14078311bb|doc_5f9d9d64cde629ee|doc_599100686061968d|doc_af2ec7a96f792725|doc_2c3942511eba49a0
english,english_152,emanual_196,validation,english,emanual,tfidf,3,3,0,unchanged,True,From where I can select beautiful screens?,doc_1877001c624f7540|doc_d0b12e9c89efb338,doc_af2ec7a96f792725|doc_fd9f5beff7a82de8|doc_1877001c624f7540|doc_d0b12e9c89efb338|doc_99b36d27411cc595
english,english_152,emanual_390,validation,english,emanual,tfidf,1,1,0,unchanged,True,How do I enable audio for video description function?,doc_0012580590c4c18b|doc_f7603509c53ff3ed,doc_f7603509c53ff3ed|doc_cb5137af2abe18b6|doc_d3ccc0799b2a15fd|doc_c054145800fbf428|doc_0012580590c4c18b
english,english_152,emanual_405,validation,english,emanual,tfidf,1,1,0,unchanged,True,How do I do factory reset?,doc_25dffc7c886f9021|doc_c62d865190756e69|doc_e46962318e2553d7,doc_25dffc7c886f9021|doc_0f015058bf7c2775|doc_e46962318e2553d7|doc_c987f7c29cc250f8|doc_f2b33f1597080e73
english,english_152,emanual_257,test,english,emanual,tfidf,1,1,0,unchanged,True,How do I change the current time on TV?,doc_c0c0b15cc2de836c,doc_c0c0b15cc2de836c|doc_021c12c35b16c64e|doc_425a79f5973c1d9d|doc_202165cdad773eb5|doc_a41de15e5b29bc4a
english,english_152,emanual_237,test,english,emanual,tfidf,1,1,0,unchanged,True,How do I select Optimized sound mode?,doc_99b36d27411cc595,doc_99b36d27411cc595|doc_d0c4a5adf3ffc776|doc_706dedfd66e0c194|doc_5f9d9d64cde629ee|doc_1877001c624f7540
english,english_152,emanual_377,validation,english,emanual,tfidf,1,1,0,unchanged,True,What is connection guide?,doc_3116d72414e56f1e|doc_41c59520df46bac2,doc_3116d72414e56f1e|doc_c028da2f1c056433|doc_41c59520df46bac2|doc_c987f7c29cc250f8|doc_f2b33f1597080e73
english,english_152,emanual_539,test,english,emanual,tfidf,1,1,0,unchanged,True,Can I select Ambient Light Detection ?,doc_afc84e50acac12bb,doc_afc84e50acac12bb|doc_af2ec7a96f792725|doc_bb306395cc6d4f76|doc_1877001c624f7540|doc_fd9f5beff7a82de8
english,english_152,emanual_574,validation,english,emanual,tfidf,1,1,0,unchanged,True,How do I establish a wired Internet connection?,doc_47ce19cf70eb6dd7|doc_b004658a7d9ff39a|doc_e778c8da35de9c2f,doc_47ce19cf70eb6dd7|doc_1dd3a6f1cd0a8ac3|doc_39d0ee956dd210f7|doc_3116d72414e56f1e|doc_58f9883ef5600855
english,english_152,emanual_318,validation,english,emanual,tfidf,1,1,0,unchanged,True,How do I edit channels?,doc_00755b389731a48d|doc_c246ec277efd47fe|doc_e7ca421f430ee3c1,doc_c246ec277efd47fe|doc_e7ca421f430ee3c1|doc_a17d0b6c852f901f|doc_95fa017d8afc2bc7|doc_5727e1afc29df334
english,english_152,emanual_59,test,english,emanual,tfidf,1,1,0,unchanged,True,How to turn TV in Ambient Mode?,doc_559038e0a46f70dd|doc_fd9f5beff7a82de8,doc_fd9f5beff7a82de8|doc_da1300ebb4dd314e|doc_af2ec7a96f792725|doc_559038e0a46f70dd|doc_1ccf529a297411ff
english,english_152,emanual_537,validation,english,emanual,tfidf,1,1,0,unchanged,True,Can I turn off the TV using off timer?,doc_8cef7e3848eac080,doc_8cef7e3848eac080|doc_e5596e1b3e874338|doc_f0e90fb8f636298c|doc_e66d2e96bcd55a11|doc_1877001c624f7540
english,english_152,emanual_346,validation,english,emanual,tfidf,1,1,0,unchanged,True,How to update TV's software through internet?,doc_c0f02da9d00f95d9|doc_e66d2e96bcd55a11,doc_e66d2e96bcd55a11|doc_755e377f476da28d|doc_c0f02da9d00f95d9|doc_58f9883ef5600855|doc_60dafa15fdeb038e
english,english_152,emanual_420,test,english,emanual,tfidf,14,14,0,unchanged,False,How do I fix blurring issues on TV screen?,doc_bb306395cc6d4f76,doc_fce8424fccb22773|doc_0f015058bf7c2775|doc_44e1346840a728bb|doc_93b5337a580bd24e|doc_1c805f0df386110a
english,english_152,emanual_363,test,english,emanual,tfidf,1,1,0,unchanged,True,Can I changing the name of the TV on a network?,doc_425a79f5973c1d9d,doc_425a79f5973c1d9d|doc_93b5337a580bd24e|doc_db1a96f5b1f00b6e|doc_e5596e1b3e874338|doc_7d9084e249b806f6
english,english_152,emanual_4,test,english,emanual,tfidf,1,1,0,unchanged,True,What is decor and how to set wallpaper of the Ambient Mode screen?,doc_af2ec7a96f792725,doc_af2ec7a96f792725|doc_fd9f5beff7a82de8|doc_da1300ebb4dd314e|doc_559038e0a46f70dd|doc_1ccf529a297411ff
english,english_152,emanual_140,validation,english,emanual,tfidf,1,1,0,unchanged,True,How can I record my scheduled program?,doc_0957beae540a0ea4|doc_ef91d3ce054acb3a,doc_0957beae540a0ea4|doc_d2eed91f926a63e8|doc_5d7d7b3b2abc89df|doc_ef91d3ce054acb3a|doc_a41de15e5b29bc4a
english,english_152,emanual_473,test,english,emanual,tfidf,3,3,0,unchanged,True,I want to setup a beautiful screens. How can I do that?,doc_d0b12e9c89efb338,doc_d2eed91f926a63e8|doc_fd9f5beff7a82de8|doc_d0b12e9c89efb338|doc_1877001c624f7540|doc_af2ec7a96f792725
