condition,query_id,question_type,query,failure_types,status,required_fact_recall,citation_coverage,citation_valid,answer,citations,context_unit_ids,packet_truncated_ids,observation
dense_packet,mxq-001,answerable,MX-100的温度上限是多少？,schema_error|model_omission|citation_error,,0.0,0.0,False,,,unit_427bb9da85d5c2c78e94|unit_ea417ff8aa45e3b8d3ea|unit_b85a502fbfddf27ee43b|unit_4f021d52061a98f6ac53|unit_d2026ce4866fbfe12c00,,Context覆盖事实，但最终答案遗漏Required Fact。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
oracle_extract,mxq-001,answerable,MX-100的温度上限是多少？,model_omission,answered,0.3333333333333333,1.0,True,75℃,unit_427bb9da85d5c2c78e94,unit_427bb9da85d5c2c78e94,,Context覆盖事实，但最终答案遗漏Required Fact。
dense_extract,mxq-001,answerable,MX-100的温度上限是多少？,model_omission,answered,0.3333333333333333,1.0,True,75℃,unit_427bb9da85d5c2c78e94|unit_ea417ff8aa45e3b8d3ea|unit_4f021d52061a98f6ac53,unit_427bb9da85d5c2c78e94|unit_ea417ff8aa45e3b8d3ea|unit_b85a502fbfddf27ee43b|unit_4f021d52061a98f6ac53|unit_d2026ce4866fbfe12c00,,Context覆盖事实，但最终答案遗漏Required Fact。
oracle_extract,mxq-003,answerable,E02故障应该如何处理？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.3333333333333333,0.0,False,证据中未提及E02故障的处理方法。,,unit_94850904cf039fcc1678,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-003,answerable,E02故障应该如何处理？,model_omission,answered,0.3333333333333333,1.0,True,检查连接,unit_931b71f8106f5858e816,unit_931b71f8106f5858e816|unit_94850904cf039fcc1678|unit_d2ea24bd55aa60e58786|unit_4e6240ee45aff210b43d|unit_8b8c7f0d85cd4c16345f,,Context覆盖事实，但最终答案遗漏Required Fact。
baseline_dense,mxq-004,answerable,E03故障应该如何处理？,false_refusal|model_omission|citation_error,insufficient_evidence,0.3333333333333333,0.0,True,资料中未提及E03故障的处理方法。,,unit_94850904cf039fcc1678|unit_5ea191c13e5954131884|unit_931b71f8106f5858e816|unit_4e6240ee45aff210b43d|unit_8b8c7f0d85cd4c16345f,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。
dense_packet,mxq-004,answerable,E03故障应该如何处理？,false_refusal|model_omission|citation_error,insufficient_evidence,0.3333333333333333,0.0,True,资料中未明确提及E03故障的处理方法。,,unit_94850904cf039fcc1678|unit_5ea191c13e5954131884|unit_931b71f8106f5858e816|unit_4e6240ee45aff210b43d|unit_8b8c7f0d85cd4c16345f,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。
oracle_extract,mxq-004,answerable,E03故障应该如何处理？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.3333333333333333,0.0,False,证据中未提及E03故障的处理方法。,,unit_94850904cf039fcc1678,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
dense_extract,mxq-004,answerable,E03故障应该如何处理？,schema_error|false_refusal|model_omission|citation_error,insufficient_evidence,0.3333333333333333,0.0,False,证据中未提及E03故障的处理方法。,,unit_94850904cf039fcc1678|unit_5ea191c13e5954131884|unit_931b71f8106f5858e816|unit_4e6240ee45aff210b43d|unit_8b8c7f0d85cd4c16345f,,Context覆盖事实，但最终答案遗漏Required Fact。 Context已有事实却返回insufficient_evidence。 引用无效或未覆盖所需事实。 输出不符合固定JSON Schema。
oracle_packet,mxq-005,answerable,MX-100当前文档版本是什么？,citation_error,answered,1.0,0.0,False,MX-100当前文档版本是v1.2,unit_03db816ac89ed1434056,unit_03db816ac89ed1434516,,引用无效或未覆盖所需事实。
