dataset,corpus,split,query_type,method,query_id,query,relevant_document_ids,top5_document_ids,observation
english_152,152,validation,english,tfidf,emanual_437,What can I do if I am getting distorted picture on TV?,doc_bb306395cc6d4f76,doc_202f58843ae10ffc|doc_e0c8d52bda0ed65c|doc_e12736352b7e2a01|doc_d5537ad686b27380|doc_d4d50252bc60bc84,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_152,152,validation,english,tfidf,emanual_489,Can I configure Color?,doc_353741387bfd6387,doc_1eb01c14078311bb|doc_5f9d9d64cde629ee|doc_599100686061968d|doc_af2ec7a96f792725|doc_2c3942511eba49a0,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_152,152,test,english,tfidf,emanual_420,How do I fix blurring issues on TV screen?,doc_bb306395cc6d4f76,doc_fce8424fccb22773|doc_0f015058bf7c2775|doc_44e1346840a728bb|doc_93b5337a580bd24e|doc_1c805f0df386110a,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_152,152,test,english,tfidf,emanual_282,From where I can see program information?,doc_021c12c35b16c64e|doc_a516564b3a344f30,doc_a41de15e5b29bc4a|doc_3a3e2297d8738f02|doc_f0e90fb8f636298c|doc_6935de094dfc03d5|doc_0e7fbbe1ec22ae1b,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_152,152,test,english,tfidf,emanual_284,How can I change Antenna type?,doc_db1a96f5b1f00b6e,doc_d2eed91f926a63e8|doc_a41de15e5b29bc4a|doc_d4d50252bc60bc84|doc_b004658a7d9ff39a|doc_c028da2f1c056433,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_152,152,validation,english,tfidf,emanual_146,Where do I find Guide Screen option?,doc_0012580590c4c18b|doc_1c805f0df386110a,doc_ef91d3ce054acb3a|doc_a516564b3a344f30|doc_f0e90fb8f636298c|doc_0312927d1c998db2|doc_021c12c35b16c64e,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_152,152,test,english,tfidf,emanual_1,What is source and how to serch data for channels?,doc_1eb01c14078311bb|doc_4ae5dbe8a44556a1,doc_60dafa15fdeb038e|doc_d3ccc0799b2a15fd|doc_da1300ebb4dd314e|doc_16dcff0dc12a6a13|doc_3116d72414e56f1e,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_152,152,test,english,tfidf,emanual_451,TV audio is not being played through the receiver. What should I do?,doc_16dcff0dc12a6a13|doc_422d081516bd1cce,doc_3feef92b8b9bf00c|doc_c0720d5f0d595fea|doc_e66d2e96bcd55a11|doc_58f9883ef5600855|doc_ae3ce3395e81ce1c,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_152,152,validation,english,tfidf,emanual_325,How do I select and view channels from favorite list only ?,doc_3af6b352347331b3,doc_ffe8bf4b5c0e3c80|doc_e7ca421f430ee3c1|doc_c246ec277efd47fe|doc_95fa017d8afc2bc7|doc_242dd5273a96502e,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_152,152,validation,english,dense,emanual_196,From where I can select beautiful screens?,doc_1877001c624f7540|doc_d0b12e9c89efb338,doc_353741387bfd6387|doc_af9e1db1daf8b03b|doc_c8cba373f361e344|doc_2bbca0997af7e74a|doc_bb306395cc6d4f76,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_152,152,test,english,dense,emanual_473,I want to setup a beautiful screens. How can I do that?,doc_d0b12e9c89efb338,doc_353741387bfd6387|doc_e12736352b7e2a01|doc_2bbca0997af7e74a|doc_f2a6f947643fc60e|doc_a516564b3a344f30,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_152,152,test,english,hybrid,emanual_284,How can I change Antenna type?,doc_db1a96f5b1f00b6e,doc_370d54180294fdd8|doc_c028da2f1c056433|doc_b004658a7d9ff39a|doc_425a79f5973c1d9d|doc_a41de15e5b29bc4a,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,validation,english,tfidf,emanual_437,What can I do if I am getting distorted picture on TV?,doc_bb306395cc6d4f76,doc_acd581f5802e6b89|doc_202f58843ae10ffc|doc_e12736352b7e2a01|doc_d5537ad686b27380|doc_d4d50252bc60bc84,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,validation,english,tfidf,emanual_489,Can I configure Color?,doc_353741387bfd6387,doc_afafb124cc440374|doc_97b116ccdcc0db63|doc_5f9d9d64cde629ee|doc_1eb01c14078311bb|doc_599100686061968d,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
english_221,221,test,english,tfidf,emanual_420,How do I fix blurring issues on TV screen?,doc_bb306395cc6d4f76,doc_fce8424fccb22773|doc_0f015058bf7c2775|doc_44e1346840a728bb|doc_93b5337a580bd24e|doc_1c805f0df386110a,Top-5 contains no labeled relevant unit; inspect lexical overlap and semantic neighbor rankings.
