query_id,query,relevant_document_ids,relevant_document_excerpt,top1_document_id,top1_excerpt,top1_score,top5_document_ids,failure_observation,selection_type
emanual_437,What can I do if I am getting distorted picture on TV?,doc_bb306395cc6d4f76,"Testing the picture. Settings Support Self Diagnosis Start Picture Test Try Now Before you review the list of problems and solutions below, use Start Picture Test to determine if the problem is caused by the TV. Start Picture Test displays a high definition p…",doc_202f58843ae10ffc,"There Is a Problem with the Broadcast. When the TV has difficulties receiving broadcasts, these steps may help resolve the problem. The problem Try this! Weak or No Signal displayed in TV mode/ cannot find channel. The TV is not receiving all channels. There…",0.08734258,doc_202f58843ae10ffc|doc_e0c8d52bda0ed65c|doc_e12736352b7e2a01|doc_d5537ad686b27380|doc_d4d50252bc60bc84,正确文档明显更长，Query 词项在长文本中的权重较弱。,recall_at_5_miss
emanual_489,Can I configure Color?,doc_353741387bfd6387,Configuring advanced picture settings. Settings Picture Expert Settings Try Now Configure the screen settings to your taste by using the following functions: Backlight Try Now Brightness Try Now Contrast Try Now Sharpness Try Now Color Try Now Tint (G/R) Try…,doc_1eb01c14078311bb,"Changing the input signal. Source When you select a connected external device on the Source screen, the output of the selected device is displayed on the TV's screen. To control a device (Blu-ray player, game console, etc.) that supports universal remote cont…",0.11243236,doc_1eb01c14078311bb|doc_5f9d9d64cde629ee|doc_599100686061968d|doc_af2ec7a96f792725|doc_2c3942511eba49a0,Query 与正确文档共享的可见词项较少，词法匹配信号不足。,recall_at_5_miss
emanual_420,How do I fix blurring issues on TV screen?,doc_bb306395cc6d4f76,"Testing the picture. Settings Support Self Diagnosis Start Picture Test Try Now Before you review the list of problems and solutions below, use Start Picture Test to determine if the problem is caused by the TV. Start Picture Test displays a high definition p…",doc_fce8424fccb22773,"Troubleshooting Internet Connectivity Issues. If your TV won't connect to the Internet, try the solutions below.",0.08641430,doc_fce8424fccb22773|doc_0f015058bf7c2775|doc_44e1346840a728bb|doc_93b5337a580bd24e|doc_1c805f0df386110a,正确文档明显更长，Query 词项在长文本中的权重较弱。,recall_at_5_miss
emanual_282,From where I can see program information?,doc_021c12c35b16c64e|doc_a516564b3a344f30,"Setting up a scheduled viewing for a channel. Using the schedule viewing options from the guide screen On the Guide screen, select a program you would like to view, press and hold the Select button, and then select Schedule Viewing in the pop-up menu that app…",doc_a41de15e5b29bc4a,"Using the guide. Live TV Guide Try Now The image on your TV may differ from the image above depending on the model and geographical area. In the Guide , you can see the daily program schedules for each broadcaster, see program information, choose a program to…",0.15786346,doc_a41de15e5b29bc4a|doc_3a3e2297d8738f02|doc_f0e90fb8f636298c|doc_6935de094dfc03d5|doc_0e7fbbe1ec22ae1b,相似但错误的文档与 Query 共享更多可见关键词。,recall_at_5_miss
emanual_284,How can I change Antenna type?,doc_db1a96f5b1f00b6e,"Changing the broadcast signal. Live TV Channel List Press the right directional button on your remote control, move the focus to Air Cable , and then press the Select button. You do not need to use this function if your TV is connected to a cable box or satel…",doc_d2eed91f926a63e8,"I Have Trouble Launching/Using Apps. When apps aren't working, these steps may help resolve the problem. The problem Try this! I launched an app, but it's in English. How can I change the language? My application is not working.",0.15295318,doc_d2eed91f926a63e8|doc_a41de15e5b29bc4a|doc_d4d50252bc60bc84|doc_b004658a7d9ff39a|doc_c028da2f1c056433,Query 与正确文档没有共享可见词项，存在明显用词差异。,recall_at_5_miss
emanual_146,Where do I find Guide Screen option?,doc_0012580590c4c18b|doc_1c805f0df386110a,Step by Step instructions to run the options. Turning on Voice Guide Press and hold the VOL button on the remote. The Accessibility Shortcuts menu appears. Press the up or down directional buttons on the remote to move to and highlight the Voice Guide option.…,doc_ef91d3ce054acb3a,"Using the instant and schedule recording options from the guide screen:. To record a program that is on now, open the program guide, move to the program, and then press and hold the Select button. You will get a pop-up menu. Use the up and down directional bu…",0.10692833,doc_ef91d3ce054acb3a|doc_a516564b3a344f30|doc_f0e90fb8f636298c|doc_0312927d1c998db2|doc_021c12c35b16c64e,相似但错误的文档与 Query 共享更多可见关键词。,recall_at_5_miss
emanual_1,What is source and how to serch data for channels?,doc_1eb01c14078311bb|doc_4ae5dbe8a44556a1,"Changing the input signal. Source When you select a connected external device on the Source screen, the output of the selected device is displayed on the TV's screen. To control a device (Blu-ray player, game console, etc.) that supports universal remote cont…",doc_60dafa15fdeb038e,"Using Smart Hub. Learn how to open Smart Hub to access apps, games, movies, and more.",0.12552825,doc_60dafa15fdeb038e|doc_d3ccc0799b2a15fd|doc_da1300ebb4dd314e|doc_16dcff0dc12a6a13|doc_3116d72414e56f1e,正确文档明显更长，Query 词项在长文本中的权重较弱。,recall_at_5_miss
emanual_451,TV audio is not being played through the receiver. What should I do?,doc_16dcff0dc12a6a13|doc_422d081516bd1cce,"My Computer Won't Connect. When the TV has difficulties connecting to a PC, these steps may help resolve the problem. The problem Try this! The Not Set your PC's output resolution so it matches a resolution supported by the TV. message appears. The video is O…",doc_3feef92b8b9bf00c,"Listening to the TV through Bluetooth devices (for the hearing impaired). Settings General Accessibility Multi-output Audio Try Now You can turn on both the TV speaker and Bluetooth devices at the same time. When this function is active, you can set the volum…",0.10384807,doc_3feef92b8b9bf00c|doc_c0720d5f0d595fea|doc_e66d2e96bcd55a11|doc_58f9883ef5600855|doc_ae3ce3395e81ce1c,相似但错误的文档与 Query 共享更多可见关键词。,recall_at_5_miss
emanual_325,How do I select and view channels from favorite list only ?,doc_3af6b352347331b3,Viewing and selecting channels on Favorites lists only. Live TV Channel List Press the right directional button on your remote control. Select Favorites Select the desired list among the five favorites lists on the screen. The channels in the selected favorit…,doc_ffe8bf4b5c0e3c80,"Removing channels from a favorites list. Select channels in a favorites list, and then select the icon.",0.25386074,doc_ffe8bf4b5c0e3c80|doc_e7ca421f430ee3c1|doc_c246ec277efd47fe|doc_95fa017d8afc2bc7|doc_242dd5273a96502e,正确文档明显更长，Query 词项在长文本中的权重较弱。,recall_at_5_miss
emanual_212,How do I configure Color?,doc_353741387bfd6387,Configuring advanced picture settings. Settings Picture Expert Settings Try Now Configure the screen settings to your taste by using the following functions: Backlight Try Now Brightness Try Now Contrast Try Now Sharpness Try Now Color Try Now Tint (G/R) Try…,doc_5f9d9d64cde629ee,Using the Sound Support Functions. Configure the sound settings for your TV.,0.11156838,doc_5f9d9d64cde629ee|doc_599100686061968d|doc_60dafa15fdeb038e|doc_da1300ebb4dd314e|doc_353741387bfd6387,正确文档明显更长，Query 词项在长文本中的权重较弱。,low_rank_or_low_score_hit
