query_id,condition,query,question_type,four_b_answer_correct,nine_b_answer_correct,four_b_status,nine_b_status,four_b_required_fact_recall,nine_b_required_fact_recall,four_b_citation_valid,nine_b_citation_valid,four_b_citation_coverage,nine_b_citation_coverage,four_b_unsupported_claim,nine_b_unsupported_claim,change,four_b_error_nine_b_correct,both_error,new_hallucination,new_citation_error,four_b_answer,nine_b_answer,four_b_citations,nine_b_citations
mxq-001,oracle_packet_9b,MX-100的温度上限是多少？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,MX-100的温度上限是75℃,MX-100 的温度上限是 75℃。,unit_427bb9da85d5c2c78e94,unit_427bb9da85d5c2c78e94
mxq-001,dense_packet_9b,MX-100的温度上限是多少？,answerable,False,True,,answered,0.0,1.0,False,True,0.0,1.0,False,False,improved,True,False,False,False,,MX-100 的温度上限是 75℃。,,unit_427bb9da85d5c2c78e94|unit_ea417ff8aa45e3b8d3ea|unit_4f021d52061a98f6ac53|unit_d2026ce4866fbfe12c00
mxq-002,oracle_packet_9b,故障代码E07表示什么，应该怎么处理？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,True,unchanged,False,False,True,False,故障代码E07表示温度过高，应停止设备并检查散热。,故障代码E07表示温度过高，处理方法是停止设备并检查散热。,unit_94850904cf039fcc1678,unit_94850904cf039fcc1678
mxq-002,dense_packet_9b,故障代码E07表示什么，应该怎么处理？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,故障代码E07表示温度过高，应停止设备并检查散热。,故障代码E07表示温度过高，处理方法是停止设备并检查散热。,unit_5ea191c13e5954131884|unit_088a259df618945202b2|unit_4e6240ee45aff210b43d|unit_94850904cf039fcc1678,unit_5ea191c13e5954131884|unit_4e6240ee45aff210b43d|unit_94850904cf039fcc1678
mxq-003,oracle_packet_9b,E02故障应该如何处理？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,检查连接,E02故障现象为传感器离线，处理方法是检查连接。,unit_94850904cf039fcc1678,unit_94850904cf039fcc1678
mxq-003,dense_packet_9b,E02故障应该如何处理？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,False,unchanged,False,False,False,False,E02故障的处理方法是检查连接。,E02故障的现象是传感器离线，处理方法是检查连接。,unit_931b71f8106f5858e816|unit_94850904cf039fcc1678|unit_d2ea24bd55aa60e58786,unit_931b71f8106f5858e816|unit_94850904cf039fcc1678|unit_d2ea24bd55aa60e58786|unit_4e6240ee45aff210b43d
mxq-004,oracle_packet_9b,E03故障应该如何处理？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,True,unchanged,False,False,True,False,E03故障的处理方法是断电复位。,E03故障的处理方法是断电复位。,unit_94850904cf039fcc1678,unit_94850904cf039fcc1678
mxq-004,dense_packet_9b,E03故障应该如何处理？,answerable,False,False,insufficient_evidence,insufficient_evidence,0.3333333333333333,0.3333333333333333,True,True,0.0,0.0,False,False,unchanged,False,True,False,False,资料中未明确提及E03故障的处理方法。,提供的资料中未包含故障代码 E03 的现象及处理方法。资料中仅包含 E02、E07 和 E03 的代码列表，但 E03 对应的具体处理步骤未在上下文中明确给出。,,
mxq-005,oracle_packet_9b,MX-100当前文档版本是什么？,answerable,True,True,answered,answered,1.0,1.0,False,True,0.0,1.0,False,False,unchanged,False,False,False,False,MX-100当前文档版本是v1.2,MX-100 当前文档版本是 v1.2,unit_03db816ac89ed1434056,unit_03db816ac89ed1434516
mxq-005,dense_packet_9b,MX-100当前文档版本是什么？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,True,False,unchanged,False,False,False,False,MX-100当前文档版本是v1.2。,MX-100 当前文档版本是 v1.2,unit_d2026ce4866fbfe12c00,unit_12f442be965b3ab2a53c|unit_b85a502fbfddf27ee43b|unit_bf63107d404eac25b0fa|unit_d2026ce4866fbfe12c00
mxq-006,oracle_packet_9b,设备资料记录的日期是什么？,answerable,True,True,answered,answered,1.0,1.0,False,True,0.0,1.0,False,True,unchanged,False,False,True,False,设备资料记录的日期是2026-07-11,2026-07-11,unit_03db816ac89ed14348516,unit_03db816ac89ed1434516
mxq-006,dense_packet_9b,设备资料记录的日期是什么？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,True,True,unchanged,False,False,False,False,设备资料记录的日期是2026-07-11。,设备资料记录的日期是 2026-07-11。,unit_4912a65c603f231bd224|unit_5a011d6f4cc5f7bf21e8,unit_766c48cf1448479c2315|unit_5a011d6f4cc5f7bf21e8
mxq-007,oracle_packet_9b,维护步骤所在章节的名称是什么？,answerable,True,True,answered,answered,1.0,1.0,False,True,0.0,1.0,True,True,unchanged,False,False,False,False,维护流程,维护步骤所在章节的名称是“维护流程”。,unit_0163e2051a2ebdd5d095e,unit_0163e2051a2ebd5d095e
mxq-007,dense_packet_9b,维护步骤所在章节的名称是什么？,answerable,True,True,answered,answered,1.0,1.0,True,True,1.0,1.0,False,True,unchanged,False,False,True,False,维护流程,维护步骤所在章节的名称是“维护流程”。,unit_0163e2051a2ebd5d095e,unit_0163e2051a2ebd5d095e
